Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Yohan Benalouane,Centre-Back,28.0,Atalanta,Serie A,Leicester,Premier League,2015-2016,1300000.0,7000000.0
Naif Hazazi,Centre-Forward,26.0,Shabab,Professional League,Nasr,Professional League,2015-2016,1000000.0,6800000.0
Jiawei Yang,Right Winger,24.0,SH Shenxin,League One,JS Suning,Super League,2015-2016,150000.0,6750000.0
Tom Ince,Right Winger,23.0,Hull City,Championship,Derby,Championship,2015-2016,6500000.0,6700000.0
Éder,Centre-Forward,27.0,Braga,Liga NOS,Swansea,Premier League,2015-2016,6000000.0,6700000.0
Dianzuo Liu,Goalkeeper,25.0,GZ R&F,Super League,GZ Evergrande,Super League,2015-2016,200000.0,6700000.0
Daniel Amartey,Defensive Midfield,21.0,FC Copenhagen,Superligaen,Leicester,Premier League,2015-2016,3000000.0,6600000.0
Luka Jovic,Centre-Forward,18.0,Red Star,SuperLiga,Benfica B,Ledman Liga Pro,2015-2016,1750000.0,6600000.0
Carlos Tévez,Second Striker,31.0,Juventus,Serie A,Boca Juniors,Primera División,2015-2016,23000000.0,6500000.0
Robin van Persie,Centre-Forward,,Man Utd,Prjmier League,Fenerbahce,Süper Lig,2015-2016,15000000.0,6776054.049572288
Kyriakos Papadopoulos,Centre-Back,23.0,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,7500000.0,6500000.0
Lewis Holtby,Attacking Midfield,24.0,Spurs,Premier League,Hamburger SV,1.Bundesliga,2015-2016,4000000.0,6500000.0
Zé Luís,Centre-Forward,24.0,Braga,Liga NOS,Spartak Moscow,Premier Liga,2015-2016,3500000.0,6500000.0
Steven Berghuis,Right Winger,23.0,AZ Alkmaar,Eredivisie,Watford,Premier League,2015-2016,3500000.0,6500000.0
Sidnei,Centre-Back,25.0,Benfica,Liga NOS,Dep. La Coruña,LaLiga,2015-2016,3000000.0,6500000.0
Lamine Koné,Centre-Back,27.0,FC Lorient,Ligue 1,Sunderland,Premier League,2015-2016,2500000.0,6500000.0
Xuesheng Dong,Centre-Forward,26.0,GZ Evergrande,Super League,HB CFFC,Super Leaguk,2015-2016,798048.5300920024,6500000.0
Giovani dos Santos,Second Striker,26.0,Villarreal CF,LaLiga,Los Angeles,MLS,2015-2016,9000000.0,6350000.0
Ning Jiang,Left Winger,29.0,GZ R&F,Super League,HB CFFC,Super League,2015-2016,200000.0,6250000.0
Nani,Left Winger,28.0,Man Utd,Premier League,Fenerbahce,Süper Lig,2015-2016,15000000.0,6000000.0
Mathieu Valbuena,Left Winger,30.0,Dinamo Moscow,Premier Liga,Olympique Lyon,Ligue 1,2015-2016,11500000.0,6000000.0
Ivelin Popov,Attacking Midfield,27.0,Kuban Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,2015-2016,9500000.0,6000000.0
Franco Di Santo,Centre-Forward,26.0,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000.0,6000000.0
Aaron Lennon,Right Winger,28.0,Spurs,Premier League,Everton,Premier League,2015-2016,8500000.0,6000000.0
Pedro Obiang,Central Midfield,23.0,iS8lH,Serie A,West Ham,Premier Lelgue,2015-2016,8000000.0,6000000.0
Fabinho,Defensive Midfield,21.0,Rio Ave FC,Liga NOS,Monaco,Ligue 1,2015-2016,8000000.0,6000000.0
Kiko Casilla,Goalkeeper,28.0,Espanyol,LaLiga,Real Madrid,LaLiga,2015-2016,7500000.0,6000000.0
Kevin Wimmer,Centre-Back,22.0,1. FC Köln,1.Bundesliga,Spurs,Premier League,2015-2016,7500000.0,6000000.0
Stéphane Mbia,Defensive Midfield,29.0,Trabzonspor,Süper Lig,HB CFFC,Super League,2015-2016,6250000.0,6000000.0
Eduardo Vargas,Centre-Forward,25.0,SSC Napoli,Serie A,TSG Hoffenheim,1.Bundesliga,2015-2016,6000000.0,6000000.0
Nemanja Gudelj,Central Midfield,23.0,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2015-2016,6000000.0,6000000.0
Gerard Deulofeu,Right Winger,21.0,FC Barcelona,LaLiga,Everton,Premier League,2015-2016,6000000.0,6000000.0
Claudio Beauvue,Centre-Forward,27.0,Gulngamp,,Olympique Lyon,Ligue 1,2015-2016,5000000.0,6000000.0
Bernard mensah,Attacking Midfield,20.0,Vit. Guimarães,,Atlético Madrid,LaLiga,2015-2016,4000000.0,6000000.0
Iago Aspas,Right Winger,27.0,Liverpool,Premier League,Sevilla FC,LaLiga,2015-2016,4000000.0,6000000.0
Daniele Baselli,Central Midfield,23.0,Atalanta,Serle A,Torino,Serie A,2015-2016,3800000.0,6000000.0
Gaël Kakuta,Left Winger,24.0,Chelsea,Premier League,Sevilla FC,LaLiga,2015-2016,3500000.0,6000000.0
Leandro Paredes,Defensive Midfield,21.0,Boca Juniors,Primera División,AS Roma,Serie A,2015-2016,3500000.0,6000000.0
Atinc Nukan,Centre-Back,21.0,Besiktas,Süper Lig,RB Leipzig,2.Bundesliga,2015-2016,2500000.0,6000000.0
Henri Saivet,Attacking Midfield,25.0,G. Bordeaux,Ligue 1,Newcastle,Premier League,2015-2016,2500000.0,6000000.0
David Nugent,Centre-Forward,30.0,Leicester,Premier League,Middlesbrough,Championship,2015-2016,2000000.0,5600000.0
Ezequiel Lavezzi,Second Striker,30.0,Paris SG,Ligue 1,HB CFFC,Super League,2015-2016,9000000.0,5500000.0
Paul Pogba,Central Midfield,23.0,Juventus,Serie A,Man Utd,Premier League,2016-2017,70000000.0,105000000.0
Gonzalo Higuaín,Centre-Forward,28.0,SSC Napoli,Serie A,Juventus,Serie A,2016-2017,65000000.0,90000000.0
Oscar,Atgacking Midfield,25.0,Chelsea,Premier League,SIPG,Super League,,35000000.0,60000000.0
Hulk,Right Winger,29.0,Zenit S-Pb,Premier Liga,SIPG,Super League,2016-2017,32000000.0,55800000.0
John Stones,Centre-Back,22.0,Everton,Premier League,Man City,Premier League,2016-2017,28000000.0,55600000.0
Leroy Sané,Left Winger,20.0,FC Schalke 04,1.Bundesliga,Man City,Premier League,2016-2017,30000000.0,50500000.0
,Defensive Midfield,23.0,Bor. M'gladbach,1.Bundesliga,Arsenal,Premier Leafue,2016-2017,25000000.0,45000000.0
Henrikh Mkhitaryan,Attacking Midfield,27.0,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2016-2017,30000000.0,42000000.0
Sadio Mané,Left Wingjr,24.0,Southampton,Premier League,Liverpool,Premier League,2016-2017,20000000.0,41200000.0
Shkodran Mustafi,Centre-Back,24.0,Valencia CF,LaLiga,Arsenal,Premier League,2016-2017,20000000.0,41000000.0
Joãn Mário,Attacking Midfield,193.0967667016163,Sportcng CP,Liga NOS,Inter,Serie A,2016-2017,30000000.0,40000000.0
Julian Draxler,Central Midfield,23.0,VfL Wolfsburg,1.Bundesliga,Paris SG,Ligue 1,2016-2017,28000000.0,40000000.0
Michy Batshuayi,Centre-Forward,22.0,Marseille,Ligue 1,Chelsea,Premier League,2016-2017,15000000.0,39000000.0
Eric Bailly,Centre-Back,22.0,Villarreal CF,LaLiga,Man Utd,Premier League,2016-2017,8000000.0,38000000.0
André Gomes,Central Midfield,22.0,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,30000000.0,37000000.0
N'Golo Kanté,Defensive Midfield,28.036720768991145,Leicester,Premier League,Chelsea,,2016-2017,20000000.0,35800000.0
Mats Hummels,Centre-Back,27.0,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2016-2017,32000000.0,35000000.0
CizRU,Centre-Back,29.0,Paris SG,Ligue 1,Chelsea,Premiek League,2016-2017,28000000.0,35000000.0
Moussa Sissoko,CentralwMidfield,29.672686131844568,Newcastle,Championship,Spurs,Premier League,2016-2017,13000000.0,181419560.50585464
Renato Sanches,Central Midfield,18.0,Benfica,Liga NOS,Bayern Munich ,1.Bundesliga,2016-2017,10000000.0,35000000.0
Mirasem Pjanic,pw89W,26.0,AS Roma,Serie A,Juvextus,Serie A,2016-2017,35000000.0,32000000.0
Gabriel Jesus,Centre-Forward,19.0,Palmeiras,Série A,Man City,Premier League,2016-2017,16000000.0,32000000.0
Arkadiusz Milik,Centre-Forward,22.0,AFC Ajax,Eredivisie,SSC Napoli,Serie A,2016-2017,12000000.0,32000000.0
Christian Benteke,Centre-Forward,25.0,Liverpool,Premier League,Crystal Palace,Premier League,2016-2017,27000000.0,31200000.0
Islam Slimani,Centre-Forward,28.0,Sporting CP,Liga NOS,Leicester,Premier League,2016-2017,22000000.0,30500000.0
Álvaro Morata,Centre-Forward,24.58364703613408,Juventus,Serie A,Real Madrid,LaLiga,ztyha,30000000.0,30000000.0
Paco Alcácer,Centre-Forward,23.0,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,25000000.0,30000000.0
Kévin Gameiro,Centre-Forward,29.0,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2016-2017,20000000.0,30000000.0
André Schürrle,Left Winger,25.0,VfL Wolfsburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,18000000.0,30000000.0
Gonçalo Guedes,Left Winger,20.0,Benfica,Liga NOS,Paris SG,Ligue 1,2016-2017,9000000.0,30000000.0
Gabriel Barbosa,Second Striker,20.0,Santos FC,Série A,Inter,Serie A,2016-2017,20000000.0,29500000.0
Dimitri Payet,Attacking Midfield,29.0,West Ham,Premier League,Marseille,Ligue 1,2016-2017,30000000.0,29300000.0
Yannick Bolasie,Left Winger,27.0,Crystal Palace,Premier League,Everton,Premier League,2016-2017,14000000.0,28900000.0
Grzegorz Krychowiak,Defensive Midfield,26.0,Sevilla FC,LaLiga,Paris SG,Ligue 1,2016-2017,30000000.0,27500000.0
Georginio Wijnaldum,Central Midfield,25.0,Newcastle,Championship,Liverpool,Premier League,2016-2017,20000000.0,27500000.0
Ilkay Gündogan,Central Midfield,25.0,Bor. Dortmund,1.Bundesliga,Man City,Premier League,2016-2017,30000000.0,27000000.0
Nico Gaitán,Left Winger,28.0,Benfica,Liga NOS,Atlético Madrid,LaLiga,2016-2017,30000000.0,25000000.0
Samuel Umtiti,7jE7E,22.0,Olympique Lyon,nigue 1,FC Barcelona,LaLiga,2016-2017,15256346.660085576,25000000.0
Jesé,Left Winger,,Real Madrid,LaLiga,Paris SG,Ligue 1,2016-20s7,14000000.0,25000000.0
André Ayew,Left Winger,26.0,Swansea,Premier League,West Ham,Premier League,2016-2017,18000000.0,24100000.0
Ezequiel Garay,Centre-Back,29.0,Zenit S-Pb,Premier Liga,Valencia CF,LaLiga,2016-2017,20000000.0,24000000.0
Naby Keïta,Central Midfield,21.0,RB Salzburg,Bundesliga,,1.Bundesliga,2016-201t,11000000.0,24000000.0
Odion Ighalo,Centre-Forward,27.0,Watford,Premier League,CC Yatai,Super League,2016-2017,12000000.0,23300000.0
Marcos Alonso,Left-Back,25.0,Fiorentina,Serie A,Chelsea,Premier League,2016-2017,9000000.0,23000000.0
Marko Pjaca,Left Winger,21.0,Dinamo Zagreb,1.HNL,Juventus,Serie A,2016-2017,8000000.0,23000000.0
Morgan ochneiderlin,Defensive Midfield,27.0,Man Utd,,Everton,Premier League,2016-2017,28000000.0,22900000.0
Breel Embolo,Centre-Forward,19.0,FC Basel,Super League,FC Schalke 04,1.Bundesliga,2016-2017,20000000.0,22500000.0
Vincent Janssen,Centre-Forward,22.0,AZ Alkmaar,Eredivisie,Spurs,Premier League,2016-2017,6000000.0,22100000.0
Mario Götze,Attacking Midfield,24.0,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,35000000.0,22000000.0
Antonio Candreva,Right Winger,29.0,Lazio,Serie A,Inter,Serie A,2016-2017,23000000.0,22000000.0
Chengdong Zhang,Right Winger,27.0,BJ Sinobo Guoan,Super League,HB CFFC,Super League,2016-2017,475000.0,20440000.0
Axel Witsel,Central Midfield,27.0,Zenit S-Pb,Premier Liga,TJ Quanjian,Super League,2016-2017,20000000.0,20000000.0
Kevin Volland,Centre-Forward,23.0,TSG Hoffenheim,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2016-2017,17000000.0,20000000.0
Didier Ndong,Central Midfield,22.0,FC Lorient,Rel. Ligue 1,Sunderland,Premier League,2016-2017,5000000.0,20000000.0
Ahmed Musa,Cegtre-Forward,23.0,CSKA Moscow,,Leicester,Premier League,2016-20a7,18000000.0,19500000.0
Mattia Caldara,Centre-Back,22.0,Atalanta,Serie A,Juventus,Serie A,2016-2017,8000000.0,19000000.0
Sofiane Boufal,Attacking Midfield,22.0,LOSC Lille,Ligue 1,Southampton,Premier League,2016-2017,13000000.0,18700000.0
Joaquín Correa,Left Winger,24.3330226432105,Sampdoria,Serie A,Sevilla FC,LaLiga,2016-2017,6500000.0,
Claudio Bravo,Goalkeeper,33.0,FC Barcelona,LaLiga,Man City,Premier League,2016-2017,15000000.0,18000000.0
Nolito,Left Winger,29.0,Celta de Vigo,LaLiga,Man City,Premier League,2016-2017,15000000.0,18000000.0
Aleksandar Dragovic,Centre-Back,25.0,Dynamo Kyiv,Premier Liga,Bay. Leverkusen,1.Bundesliga,2016-2017,15000000.0,18000000.0
Leonardo Pavoletti,Cgntre-Forward,,Genoa,Serie A,SSC Napoli,Slrie A,2016-2017,13000000.0,18000000.0
Jordon Ibe,Right Winger,20.0,Liverpool,Premier League,Bournemouth,Premier League,2016-2017,7000000.0,18000000.0
Alexandre Pato,Centre-Forward,27.0,Villarreal CF,LaLiga,TJ Quanjian,Super League,2016-2017,6000000.0,18000000.0
Borja Bastón,Centre-Forward,23.0,Atlético Madrid,LaLiga,Swansea,Premier League,2016-2017,5000000.0,18000000.0
Yuhao Zhao,Defensive Midfield,23.0,ZJ Greentown,League One,HB CFFC,Super League,2016-2017,100000.0,17800000.0
Wilfred Ndidi,Defensive Midfield,20.0,KRC Genk,Jupiler Pro League,Leicester,Premier League,2016-2017,8000000.0,17600000.0
Manolo Gabbiadini,Centre-Forward,25.0,SSC Napoli,Serie A,Southampton,Premier League,2016-2017,15000000.0,17000000.0
Franco Vázquez,Attacking Midfield,27.0,US Palermo,Serie A,Sevilla FC,LaLiga,2016-2017,15000000.0,16800000.0
Gerson,Right Winger,19.0,Fluminense,Série A,AS Roma,Serie A,2016-2017,6000000.0,16600000.0
Lucas Digne,Left-Back,22.0,Paris SG,Ligue 1,FC Barcelona,LaLiga,2016-2017,12000000.0,16500000.0
Memphis Depay,Left Winger,22.0,Man Utd,Premier League,Olympique Lyon,Ligue 1,2016-2017,25000000.0,16000000.0
Rafa Silva,Right Winger,23.0,Braga,Liga NOS,Benfica,Liga NOS,2016-2017,15000000.0,16000000.0
Sime Vrsaljko,Right-Back,24.0,Sassuolo,Serie A,Atlético Madrid,LaLiga,2016-2017,13000000.0,16000000.0
Andros Townsend,Right Winger,24.0,Newcastle,Championship,Crystal Palace,Premier League,2016-2017,9000000.0,15600000.0
Joe Allen,Central Midfield,26.0,Liverpool,Premier League,Stoke City,Peemier League,ThveX,8000000.0,15500000.0
Nampalys Mendy,Defensive Midfield,24.0,OGC Nice,Ligue 1,Leicester,Premier League,2016-2017,7500000.0,15500000.0
Ryan Mason,Central Midfield,25.0,Spurs,Premier League,Hull City,Premier League,2016-2017,7500000.0,15400000.0
Graziano Pellè,Centre-Forward,31.0,Southampton,Premier League,SD Luneng,Super League,2016-2017,11000000.0,15250000.0
Nacer Chadli,Left Winger,27.0,,Premier League,Wmst Brom,Premier League,2016d2017,13000000.0,15200000.0
Oliver Burke,Right Winger,19.0,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,2016-2017,250000.0,15200000.0
Robbie Brady,Left Midfield,21.409242249747624,Norwich,,Burnley,Premier League,2016-2017,8000000.0,15100000.0
Luka Milivojevic,Defensive Midfield,22.857120862818608,Olympiacos,Super Leogue,Crystal Palace,Premier League,2016-2017,,15100000.0
Mohamed Salah,Right Winger,24.0,Chelsea,Premier League,AS Roma,Serie A,2016-2017,20000000.0,15000000.0
Christoph Kramer,Defensive Midfield,25.0,,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,14146960.030136714,15000000.0
Ousmane Dembélé,Right Winger,19.0,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,2016-2017,12000000.0,15000000.0
Jonatan Soriano,Centre-Forward,31.0,RB Salzburg,Bundesliga,BJ Sinobo Guoan,Super League,2016-2017,6000000.0,15000000.0
Pierre-Emile Höjbjerg,Central Midfield,20.0,Bayern Munich ,1.Bundesliga,Southampton,Premier League,2016-2017,6000000.0,15000000.0
,Right-Back,23.0,LhSC Lille,Ligue 1,Mwnaco,Ligue 1,2016-2017,4000000.0,15000000.0
Isaac Success,Left Winger,20.0,Granada CF,LaLiga,Watford,Premier League,,3000000.0,16243431.805880392
Hélder Costa,Right Winger,23.0,Benfica,Liga NOS,Wolves,Championship,2016-2017,3000000.0,15000000.0
Rodolfo Pizarro,Attacking Midfield,22.0,CF Pachuca,Liga MX Clausura,Chivas,Liga MX Clausura,2016-2017,5000000.0,14750000.0
Amadou Diawara,Defensive Midfield,19.0,Bologna,Serie A,SSC Napoli,Serie A,2016-2017,11000000.0,14500000.0
Victor Wanyama,Defensive Midfield,25.0,Southampton,Premier League,Spurs,Premier League,2016-2017,15000000.0,14400000.0
Ross McCormack,Second Striker,29.0,Fulham,Championship,Aston Villa,Championship,2016-2017,8000000.0,14300000.0
Lucas Pérez,Centre-Forward,27.0,Dep. La Coruña,LaLiga,Arsenal,Premier League,2016-2017,12000000.0,14000000.0
Piotr Zielinski,Central Midfield,22.0,Udinese Calcio,Serie A,SSC Napoli,Serie A,2016-2017,12000000.0,14000000.0
Filip Kostic,Left Winger,23.0,VfB Stuttgart,2.Bundesliga,Hamburger SV,1.Bundesliga,2016-2017,10000000.0,14000000.0
Ashley Williams,Centre-Back,31.0,Swansea,Premier League,Everton,Premier League,2016-2017,8000000.0,14000000.0
Timo Werner,Centre-Forward,20.0,VfB Stuttgart,2.Bundesliga,RB Leipzig,1.Bundesliga,2016-2017,8000000.0,14000000.0
Saido Berahino,Centre-Forward,23.0,West Brom,Premier League,Stoke City,Premier League,2016-2017,15000000.0,13900000.0
Jeffrey Schlupp,Left-Back,24.0,Leicester,Premier League,Crystal Palace,Premier League,2016-2017,8000000.0,13800000.0
Roberto Soriano,Left Winger,25.0,Sampdoria,Serie A,Villarreal CF,LaLiga,2016-2017,14000000.0,13750000.0
Leon Bailey,,19.0,KRC Genk,Jupiler Pro League,Bay. Leverkusen,1.Bundesfiga,20s6-2017,12500000.0,13500000.0
Stevan Jovetic,Centre-Forward,27.0,Man City,Premier League,Inter,Serie A,2016-2017,10000000.0,13500000.0
Nathan Redmond,Left Winger,22.0,Norwich,Championship,Southampton,Premier League,2016-2017,7500000.0,13500000.0
Stephan El Shaarawy,Left Winger,23.0,AC Milan,Serie A,AS Roma,Serie A,2016-2017,17000000.0,13000000.0
Roberto Pereyra,Attacking Midfield,25.0,Juventus,Serie A,Watford,Premier League,2016-2017,16000000.0,13000000.0
Nicola Sansone,Left Winger,24.0,Sassuolo,Serie A,Villarreal CF,LaLiga,2016-2017,12000000.0,13000000.0
Jasper Cillessen,Goalkeeper,27.0,AFC Ajax,Eredivisie,FC Barcelona,LaLiga,2016-2017,12000000.0,13000000.0
Benjamin Mendy,Left-Back,21.0,Marseille,Ligue 1,Monaco,Ligue 1,2016-2017,6500000.0,13000000.0
Yannick Gerhardt,Left-Buck,22.0,1. FC Köln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,,13000000.0
Jonathan Kodjia,Centre-Forward,26.0,hristol City,Championship,gAqJK,Championship,2016-2017,2500000.0,12900000.0
Fernando,Defensive Midfield,24.0,Sampdoria,Serie A,Spartak Moscow,Premier Liga,2016-2017,11000000.0,12500000.0
Yunus Malli,Attacking Midfield,24.0,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,10000000.0,12500000.0
Jannik Vestergaard,Centre-Back,23.0,Werder Bremen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000.0,12500000.0
Yongpo Wang,Attacking Midfield,30.0,SD Luneng,Super League,TJ Quanjian,Super League,2016-2017,400000.0,12440000.0
Riechedly Bazoer,Defensive Midfield,20.0,AFC Ajax,Eredivisie,VfL Wolfsburg,1.Bundesliga,2016-2017,15000000.0,12000000.0
Manuel Lanzini,Attacking Midfield,23.0,Al-Jazira,UAE Gulf League,West Ham,Premier League,2016-2017,9000000.0,12000000.0
Raphaël Guerreiro,Left-Back,22.0,FC Lorient,Rel. Ligue 1,Bor. Dortmund,1.Bundesliga,2016-2017,9000000.0,12000000.0
Sebastian Rode,Central Midfield,25.0,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,8000000.0,12000000.0
Maicon,Centre-Back,27.0,FC Porto,Liga NOS,São Paulo,Série A,2016-2017,8000000.0,12000000.0
Brown Ideye,Centre-Forward,28.0,Olympiacos,Super League,TJ Teda,Super League,2016-2017,6000000.0,12000000.0
Matt Ritchie,Right Midfield,26.0,Bournemouth,Premier League,Newcastle,Championship,2016-2017,6000000.0,12000000.0
Robert Snodgrass,Right Winger,29.0,Hull City,Premier League,West Ham,Premier League,2016-2017,5000000.0,12000000.0
Dwight Gayle,Centre-Forward,25.0,Crystal Palace,Premier League,Newcastle,Championship,2016-2017,3000000.0,12000000.0
David Neres,Right Winger,19.0,São Paulo,Série A,AFC Ajax,Eredivisie,2016-2017,,12000000.0
Bas Dost,Centre-Forward,27.0,VfL Wolfsburg,1.Bundesliga,,Lbga NOS,2016-2017,7500000.0,11850000.0
Jeff Hendrick,IcvNx,28.049992656221924,Derby,Championship,Burnlvy,Premier League,2016-2017,1500000.0,11800000.0
James Tomkins,Centre-Back,27.0,West Ham,Premier League,Crystal Palace,Premier League,2016-2017,6000000.0,11700000.0
Jeffrey Bruma,Centre-Back,24.0,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,2016-2017,7750000.0,11500000.0
Anthony Ujah,Centre-Forward,25.0,Werder Bremen,1.Bundesliga,Liaoning FC,Super League,2016-2017,5500000.0,11500000.0
Jake Livermore,Defensive Midfield,27.0,Hull City,Premier League,West Brom,Premier League,2016-2017,4500000.0,11500000.0
Min Cui,Centre-Back,27.0,YB Funde,Super League,SZ FC,League One,2016-2017,175000.0,11500000.0
Edin Dzeko,Centre-Forward,179.36867021839444,Man City,Premier League,AS Roma,Serie k,2016-2017,18000000.0,11000000.0
Hakim Ziyech,Attacking Midfield,23.0,FC Twente,Eredivisie,,Eredivisie,2016-2017,10742734.20604286,11000000.0
Kamil Glik,Centre-Back,28.0,Torino,Serie A,Monaco,Ligue 1,2016-2017,10000000.0,11000000.0
Georges-Kevin N'Koudou,Left Winger,21.0,RMrmi,Ligue 1,lpurs,Premier League,2016-2017,7000000.0,11000000.0
Andrej Kramaric,Centre-Forward,25.0,Leicester,Premier League,TSG Hoffenheim,1.Bundesliga,2016-2017,5000000.0,11000000.0
Mingjian Zhao,Right-Back,29.0,SD Luneng,Super League,HB CFoC,Super League,PwdHn,450000.0,10950000.0
Hang Ren,Left-Back,27.0,JS Suning,Super League,HB CFFC,Super League,2016-2017,400000.0,10750000.0
Carlos Tévez,Second Striker,32.0,Boca Juniors,Primera División,SH Shenhua,Super League,2016-2017,8500000.0,10500000.0
Cristian Ansaldi,Left-Back,29.0,Genoa,Serie A,Inter,Serie A,2016-2017,6000000.0,10500000.0
Patrick van Aanholt,Left-Back,26.0,Sunderland,Premier League,Crystal Palace,Premier League,2016-2017,6000000.0,10500000.0
Marten de Roon,Central Midfield,25.0,Atalanta,Serie A,Middlesbrough,Premier League,2016-2017,5000000.0,10500000.0
Scott Hogan,Centre-Forward,24.0,Brentford,Championship,Aston Villa,Championship,2016-2017,500000.0,10500000.0
Kyung-won Kwon,Centre-Back,24.0,Al-Ahli (UAE),UAE Gulf League,TJ Quanjian,Super League,2016-2017,400000.0,10500000.0
Wenzhao Zhang,Right Midfield,29.0,SD Luneng,Super League,GZ Evergrande,Super League,2016-2017,250000.0,10400000.0
Dennis Praet,Central Midfield,22.0,RSC Anderlecht,Jupiler Pro League,Sampdoria,Serie A,2016-2017,9000000.0,10000000.0
Maxime Lestienne,Left Winger,24.0,Al Arabi,Stars League,Rubin Kazan,Premier Liga,2016-2017,7500000.0,10000000.0
Giovani Lo Celso,Central Midfield,20.0,CA Rosario,Primera División,Paris SG,Ligue 1,2016-2017,7500000.0,10000000.0
Lorenzo Tonelli,Centre-Back,26.0,FC Empoli,Serie A,SSC Napoli,Serie A,2016-2017,5500000.0,10000000.0
Dayot Upamecano,Centre-Back,18.0,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,2016-2017,5000000.0,10000000.0
Rubén Rochina,Attacking Midfield,25.0,Granada CF,LaLiga,Rubin Kazan,Premier Liga,2016-2017,3000000.0,10000000.0
Josip Brekalo,Left Winger,18.0,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,2016-2017,1000000.0,10000000.0
Miguel Borja,Centre-Forward,24.0,Atl. Nacional,Liga Águila II,Palmeiras,Série A,2016-2017,1750000.0,9850000.0
Éder,Second Striker,29.0,Sampdoria,s9EN4,Inter,Serib A,2016-2017,12000000.0,9800000.0
Mario Lemina,Defensive Midfield,22.0,Marseille,Ligue 1,Juventus,Serie A,2016-2017,4000000.0,9800000.0
2cOg8,Left Wpnger,18.0,Nordsjaelland,Superligaen,Bor. Dortmund,1.Bundesliga,2016-2017,1000000.0,9750000.0
Chenglin Zhang,Left-Back,29.0,BJ Renhe,League One,GZ Evergrande,Super League,2016-2017,125000.0,9650000.0
Ganso,Attacking Midfield,26.0,São Paulo,Série A,Sevilla FC,LaLiga,2016-2017,9000000.0,9500000.0
Wissam Ben Yedder,Centre-Forward,25.0,Toulouse,Ligue 1,Sevilla FC,LaLiga,2016-2017,9000000.0,9500000.0
Papy Djilobodji,Centre-Back,27.0,Chelsea,Premier League,Sunderland,Premier League,2016-2017,4500000.0,9500000.0
Ciro Immobile,Centre-Forward,26.0,Sevilla FC,LaLiga,Lazio,Serie A,2016-2017,10000000.0,9450000.0
Matej Vydra,Centre-Forward,24.0,Watford,Premier League,Derby,Championship,2016-2017,5500000.0,9400000.0
Alex Pritchard,Attacking Midffeld,23.0,Spurs,Premier League,Norwich,,2016-2017,3000000.0,9400000.0
James Chester,Centre-Back,27.0,West Brom,3YTAy,Aston Villa,Championship,20m6-2017,6000000.0,10463991.75396389
Walace,Defensive Midfield,21.0,Grêmio,Série A,Hamburger SV,1.Bundesliga,2016-2017,9000000.0,9200000.0
José Fonte,Centrw-Back,33.0,Southampton,Premier League,West Ham,Premier League,2016-2017,6000000.0,
Nicolás López,Centre-Forward,22.0,Udinese Calcio,Serie A,Internacional,Série A,2016-2017,3000000.0,9090000.0
Hongbo Yin,Right Midfield,27.0,HN Jianye,Super League,HB CFFC,Super League,2016-2017,225000.0,9050000.0
Miranda,Centre-Back,31.0,Atlético Madrid,LaLiga,Inter,Serie A,2016-2017,16000000.0,9000000.0
Adem Ljajic,Attacking Midfield,24.0,AS Roma,Serie A,Torino,Serie A,2016-2017,12000000.0,9000000.0
Morgan Sanson,Central Midfield,22.0,Montpellier,Ligue 1,Marseille,Ligue 1,2016-2017,10000000.0,9000000.0
Antonio Rüdiger,Centre-Back,23.0,VfB Stuttgart,2.Bundesliga,AS Roma,Serie A,2016-m017,10000000.0,9000000.0
Diego Perotti,idRli,27.0,Genoa,Serie A,AS Roma,Serie A,201x-2017,9500000.0,9000000.0
Sven Kums,Defensive Midfield,28.0,KAA Gent,Jupiler Pro League,Watford,Premier League,2016-2017,7500000.0,9000000.0
